epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1484,1.47562,2.15962,1.5768,0.75477,0.79245,0.75317,0.16287,2.29662,2.42849,2.26229,0.000661871,0.000661871,0.000661871
2,45.956,1.38925,1.70909,1.49774,0.86494,0.75943,0.83015,0.16417,2.40007,3.48549,2.69363,0.0012847,0.0012847,0.0012847
3,69.9052,1.42961,1.57667,1.50123,0.81205,0.78302,0.84801,0.36562,1.80068,1.97398,1.72705,0.00186352,0.00186352,0.00186352
4,94.3368,1.33092,1.37695,1.43861,0.88814,0.82396,0.87899,0.48211,1.51587,1.40521,1.4028,0.001802,0.001802,0.001802
5,118.623,1.31568,1.32059,1.42918,0.8958,0.85377,0.92558,0.52769,1.37492,1.28651,1.36213,0.001736,0.001736,0.001736
6,144.18,1.29845,1.23655,1.42986,0.95019,0.80981,0.91776,0.32628,2.10359,1.64963,1.95276,0.00167,0.00167,0.00167
7,167.903,1.20278,1.15925,1.38748,0.90145,0.8629,0.91982,0.48619,1.63799,1.11256,1.45355,0.001604,0.001604,0.001604
8,193.429,1.19954,1.09204,1.38471,0.90415,0.87264,0.93112,0.59902,1.26384,0.87574,1.22043,0.001538,0.001538,0.001538
9,218.499,1.10287,1.00768,1.31617,0.87848,0.88662,0.93131,0.51643,1.52853,0.97323,1.44195,0.001472,0.001472,0.001472
10,243.584,1.12248,0.99994,1.3384,0.92602,0.87264,0.93691,0.60519,1.2003,0.8372,1.23829,0.001406,0.001406,0.001406
11,269.79,1.12674,1.01165,1.31732,0.87767,0.91378,0.9407,0.5308,1.55622,0.91093,1.43561,0.00134,0.00134,0.00134
12,296.633,1.07108,0.95609,1.30574,0.93299,0.87264,0.94119,0.55163,1.49699,0.83392,1.37262,0.001274,0.001274,0.001274
13,322.953,1.04011,0.94261,1.27205,0.89088,0.88208,0.92866,0.57663,1.3564,0.81454,1.3355,0.001208,0.001208,0.001208
14,349.516,1.02652,0.91302,1.26783,0.91082,0.81899,0.89649,0.5784,1.2878,1.08811,1.24806,0.001142,0.001142,0.001142
15,375.848,1.0175,0.87356,1.25512,0.89662,0.89999,0.93441,0.60659,1.28785,0.84488,1.25302,0.001076,0.001076,0.001076
16,403.157,0.98559,0.81854,1.23656,0.92215,0.89402,0.92738,0.6876,0.97325,0.69916,1.07503,0.00101,0.00101,0.00101
17,429.86,0.99482,0.83435,1.2355,0.91503,0.86352,0.92989,0.66596,1.01852,0.77565,1.11153,0.000944,0.000944,0.000944
18,459.979,0.93969,0.80009,1.20604,0.91973,0.91509,0.95094,0.64726,1.19628,0.64,1.17566,0.000878,0.000878,0.000878
19,485.462,0.91269,0.75599,1.19818,0.89738,0.90752,0.94035,0.68603,0.9722,0.64588,1.07088,0.000812,0.000812,0.000812
20,513.59,0.90514,0.78733,1.20428,0.93183,0.90271,0.956,0.66838,1.12739,0.65156,1.12951,0.000746,0.000746,0.000746
21,540.921,0.75767,0.66,1.09626,0.90106,0.90214,0.94373,0.73043,0.83201,0.63099,1.00849,0.00068,0.00068,0.00068
22,569.055,0.72726,0.5963,1.08162,0.88375,0.89623,0.93904,0.73038,0.84742,0.60042,1.03267,0.000614,0.000614,0.000614
23,596.928,0.71584,0.57465,1.07426,0.89251,0.83962,0.91163,0.66594,0.96465,0.70918,1.10267,0.000548,0.000548,0.000548
24,624.556,0.72795,0.58001,1.1005,0.92217,0.89421,0.93919,0.71859,0.91561,0.60507,1.04066,0.000482,0.000482,0.000482
25,652.585,0.69421,0.5684,1.06271,0.88179,0.90094,0.93284,0.64212,1.1405,0.65035,1.14889,0.000416,0.000416,0.000416
26,680.594,0.67099,0.53652,1.05213,0.84849,0.78302,0.87009,0.58102,1.16294,0.84028,1.19064,0.00035,0.00035,0.00035
27,706.69,0.66634,0.54239,1.05422,0.90063,0.89783,0.93768,0.65853,1.1059,0.62733,1.12408,0.000284,0.000284,0.000284
28,734.919,0.64616,0.51463,1.03559,0.90847,0.88955,0.93717,0.69351,0.99388,0.59143,1.07696,0.000218,0.000218,0.000218
29,762.936,0.60795,0.50271,1.02133,0.92042,0.89151,0.94163,0.66333,1.10749,0.59287,1.12221,0.000152,0.000152,0.000152
30,789.641,0.63668,0.49664,1.04468,0.88887,0.89623,0.93898,0.70568,0.93731,0.57048,1.04544,8.6e-05,8.6e-05,8.6e-05
