epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4808,1.4661,2.11473,1.55102,0.7597,0.70971,0.70776,0.14771,2.41132,2.77872,2.51561,0.000661905,0.000661905,0.000661905
2,53.4432,1.35797,1.60646,1.46684,0.69346,0.59184,0.60196,0.11658,2.37816,2.84556,2.41579,0.00128473,0.00128473,0.00128473
3,82.0698,1.35918,1.55689,1.46293,0.87776,0.7551,0.85777,0.44307,1.49856,1.51813,1.38092,0.00186355,0.00186355,0.00186355
4,110.367,1.32476,1.43316,1.46944,0.82983,0.79616,0.8367,0.41244,1.56229,1.83425,1.48005,0.001802,0.001802,0.001802
5,137.969,1.30495,1.30897,1.4282,0.83468,0.79082,0.85526,0.43757,1.51899,1.30082,1.43035,0.001736,0.001736,0.001736
6,165.64,1.20918,1.20329,1.36054,0.75659,0.82465,0.77728,0.32678,1.97896,1.50759,1.76856,0.00167,0.00167,0.00167
7,195.403,1.21929,1.13801,1.35413,0.86858,0.80929,0.90266,0.49949,1.44869,1.22272,1.29709,0.001604,0.001604,0.001604
8,223.475,1.20637,1.08008,1.37484,0.8512,0.87245,0.92316,0.53661,1.3545,0.96518,1.28266,0.001538,0.001538,0.001538
9,253.006,1.15533,1.04134,1.31944,0.89564,0.83192,0.91612,0.56562,1.30063,1.00958,1.28502,0.001472,0.001472,0.001472
10,281.403,1.09712,0.97075,1.29383,0.83016,0.87755,0.91592,0.64521,0.98535,0.8587,1.09446,0.001406,0.001406,0.001406
11,309.932,1.10986,0.96165,1.29235,0.84081,0.82143,0.84723,0.62467,1.00339,1.1207,1.08277,0.00134,0.00134,0.00134
12,336.652,1.0517,0.89579,1.27423,0.89448,0.84694,0.92968,0.56639,1.32152,0.86527,1.22386,0.001274,0.001274,0.001274
13,364.609,1.02612,0.85617,1.22715,0.87062,0.85835,0.91289,0.63643,1.09021,0.94104,1.11591,0.001208,0.001208,0.001208
14,392.47,1.0047,0.82869,1.23527,0.86367,0.90501,0.93313,0.61855,1.16673,0.78215,1.15652,0.001142,0.001142,0.001142
15,421.296,1.0171,0.87062,1.25708,0.87761,0.82653,0.93234,0.60782,1.24349,0.77264,1.17267,0.001076,0.001076,0.001076
16,449.237,0.99839,0.82832,1.22671,0.88678,0.82653,0.92736,0.6164,1.16611,0.78277,1.14734,0.00101,0.00101,0.00101
17,478.214,0.92429,0.79563,1.17678,0.96644,0.7602,0.8244,0.62789,0.89164,1.27194,1.0286,0.000944,0.000944,0.000944
18,505.926,0.94263,0.81133,1.21077,0.94646,0.76531,0.84957,0.57251,1.1863,1.21955,1.13803,0.000878,0.000878,0.000878
19,534.02,0.86377,0.74087,1.15535,0.87531,0.86224,0.93409,0.66734,1.02737,0.72828,1.10095,0.000812,0.000812,0.000812
20,565.882,0.88142,0.72277,1.16989,0.87512,0.85808,0.93148,0.68024,0.93372,0.6945,1.05031,0.000746,0.000746,0.000746
21,594.075,0.76386,0.60713,1.11419,0.88,0.83163,0.93561,0.65781,1.09585,0.72367,1.08666,0.00068,0.00068,0.00068
22,620.825,0.76527,0.60162,1.11569,0.8795,0.84184,0.93132,0.58644,1.36813,0.73405,1.25298,0.000614,0.000614,0.000614
23,648.458,0.69749,0.55781,1.05534,0.94141,0.81985,0.94358,0.59028,1.35209,0.71576,1.22596,0.000548,0.000548,0.000548
24,676.895,0.67519,0.52962,1.04274,0.90858,0.86201,0.93429,0.66762,0.98877,0.6911,1.05971,0.000482,0.000482,0.000482
25,704.46,0.70892,0.52728,1.08144,0.88782,0.88835,0.94019,0.66574,1.07228,0.64645,1.08754,0.000416,0.000416,0.000416
26,731.442,0.68285,0.53202,1.05796,0.89497,0.88776,0.95336,0.68075,1.05898,0.623,1.0718,0.00035,0.00035,0.00035
27,758.705,0.64593,0.50395,1.03151,0.89081,0.86735,0.94669,0.64789,1.14459,0.63516,1.11102,0.000284,0.000284,0.000284
28,786.384,0.6481,0.49668,1.03203,0.87208,0.88265,0.94527,0.68446,1.01001,0.63169,1.06638,0.000218,0.000218,0.000218
29,814.54,0.63051,0.50099,1.02711,0.88536,0.88776,0.9535,0.67861,1.02454,0.60875,1.0576,0.000152,0.000152,0.000152
30,841.077,0.61061,0.47984,1.00214,0.89292,0.89286,0.95759,0.69242,0.98313,0.59389,1.04126,8.6e-05,8.6e-05,8.6e-05
